,Name,place_id,Address,Coordinates,business_status,types,category
76,Kaumana Drive @ Poki Place/Kaumana Terrace,ChIJcccQtca0U3kR8i9T912T-Dc,United States,"{'lat': 19.7027294, 'lng': -155.113461}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
77,Hilo Ainako Avenue @ Kaumana Drive,ChIJoa3OU7i0U3kRp2mHaSzxT_4,United States,"{'lat': 19.709, 'lng': -155.110083}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
78,Kaumana Drive @ Ainako Avenue (farside),ChIJY-TjTLi0U3kR7Df8rh6Yhn0,United States,"{'lat': 19.709111, 'lng': -155.109667}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
79,Kaumana Drive Ainako Street,ChIJ8frpsrm0U3kRZzgkAMI6ASs,United States,"{'lat': 19.7093224, 'lng': -155.1097537}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
80,Hilo Ainako Avenue @ Lahi Street,ChIJb8tHBpO0U3kRTujzIYT-1X4,United States,"{'lat': 19.71166699999999, 'lng': -155.127778}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
81,Hilo Waianuenue Ave @ Kaiser Permanente,ChIJUy81x7y0U3kRx3xx07inAaQ,United States,"{'lat': 19.717306, 'lng': -155.115167}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
82,Hilo Waianuenue Ave @ Hilo Medical Center,ChIJT2seTru0U3kRnDTQtwvl-h8,United States,"{'lat': 19.717583, 'lng': -155.112833}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
83,Haihai Street @ before Laula Street - Hilo Municipal Golf Course,ChIJaT1DoN5KUnkRgSYxpvV8H5c,United States,"{'lat': 19.6739846, 'lng': -155.0766288}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
84,Kilauea Ave @ Palai St,ChIJQ2Kmbh5LUnkRm9px0dFKBq4,United States,"{'lat': 19.679778, 'lng': -155.067167}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
85,Kinoole Street @ W Kahaopea Street - Kino'ole Plaza/Sr Housing,ChIJd41ehxdLUnkRaIwkrXUlaaQ,United States,"{'lat': 19.689472, 'lng': -155.069528}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
