,Name,place_id,Address,Coordinates,business_status,types
55,Delany Court Apartments,ChIJ9yWKiR1_P4YRlj5gqWpOIYQ,"5825 Delany Rd, Hitchcock","{'lat': 29.3616995, 'lng': -95.0197494}",OPERATIONAL,"['point_of_interest', 'establishment']"
56,Santa Fe Plaza Apartments,ChIJSZ2hArGBQIYRsibcPnP2NIg,"12200 11th St # 49, Santa Fe","{'lat': 29.37659, 'lng': -95.0879416}",OPERATIONAL,"['point_of_interest', 'establishment']"
57,Ebbtide Apartments,ChIJgQ0WMjWeP4YRq_iG7NfqMBc,"100 Market St, Galveston","{'lat': 29.3121201, 'lng': -94.7692165}",OPERATIONAL,"['point_of_interest', 'establishment']"
58,Villa Marina Apartments,ChIJ4VrmwjSeP4YRsIYTXh1w6YQ,"210 Harborside Dr, Galveston","{'lat': 29.3144248, 'lng': -94.7711964}",OPERATIONAL,"['point_of_interest', 'establishment']"
59,Mansions at Moses Lake Apartments,ChIJsYiPcYZ5P4YRduJe3vL8wKk,"2211 34th St N, Texas City","{'lat': 29.406054, 'lng': -94.9481907}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
60,Dove Cove Condominiums,ChIJPcRjiZZ-P4YReSJxHdIZ2A8,"1862 Dogwood St, Texas City","{'lat': 29.4007663, 'lng': -95.00097650000001}",OPERATIONAL,"['point_of_interest', 'establishment']"
61,Gatsby Condos,ChIJCZQU-pV-P4YRCSQ6Lb67ZLo,"7600 Emmett F Lowry Expy, Texas City","{'lat': 29.399293, 'lng': -94.99774289999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
62,Harbor East Condominiums,ChIJv4hYtzKeP4YRwD5RgipY-5U,"500 Ferry Rd, Galveston","{'lat': 29.3203292, 'lng': -94.7700423}",OPERATIONAL,"['point_of_interest', 'establishment']"
63,The Palms at Cove View Condominiums,ChIJz24hjpmcP4YR0a6bvm2iSUw,"3506 Cove View Blvd, Galveston","{'lat': 29.2467063, 'lng': -94.8685012}",OPERATIONAL,"['point_of_interest', 'establishment']"
64,Mariner House Condominiums,ChIJR5W0WzWeP4YR4wzriXUqFGU,"215 Postoffice St, Galveston","{'lat': 29.3105544, 'lng': -94.7700576}",OPERATIONAL,"['point_of_interest', 'establishment']"
65,The Dawn Condominium Association,ChIJaXgtA0KcP4YRZdBUcOPsCoM,"7000 Seawall Blvd, Galveston","{'lat': 29.2616766, 'lng': -94.8365809}",OPERATIONAL,"['point_of_interest', 'establishment']"
66,Maravilla Condos,ChIJ0TRchYWcP4YRsSayVep3UR0,"9520 Seawall Blvd, Galveston","{'lat': 29.2479248, 'lng': -94.8593592}",OPERATIONAL,"['point_of_interest', 'establishment']"
67,Ocean Grove Condominiums,ChIJ3YL-XY-cP4YRFl02RLIkfrA,"9420 Seawall Blvd, Galveston","{'lat': 29.2487139, 'lng': -94.8581699}",OPERATIONAL,"['point_of_interest', 'establishment']"
68,By the Sea Condominiums,ChIJU2Ls2GmcP4YRgFjBtPbhIFk,"7310 Seawall Blvd, Galveston","{'lat': 29.2605475, 'lng': -94.8378994}",OPERATIONAL,"['point_of_interest', 'establishment']"
69,SeaScape Condos,ChIJ8yzhNp-cP4YRry-2JYcSqT8,"10811 Termini-San Luis Pass Rd, Galveston","{'lat': 29.2420043, 'lng': -94.8713989}",OPERATIONAL,"['point_of_interest', 'establishment']"
70,Harborside Condominiums Owners,ChIJjWev0WqeP4YRUMYAIb8c-oA,"104 21st St, Galveston","{'lat': 29.3084218, 'lng': -94.79217609999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
71,Exclesior Condominiums,ChIJ8cmbhDWeP4YRGJcRcPeEAvU,"402 Postoffice St, Galveston","{'lat': 29.3102951, 'lng': -94.77202989999999}",OPERATIONAL,"['beauty_salon', 'general_contractor', 'point_of_interest', 'establishment']"
72,Emerald by the Sea Condominium,ChIJuVOiq0ueP4YRdwlSdJgfXIM,"500 Seawall Blvd, Galveston","{'lat': 29.3068899, 'lng': -94.77255099999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
73,Palisade Palms,ChIJD86kKcSfP4YRFFru1qwvMZM,"801 E Beach Dr, Galveston","{'lat': 29.3159962, 'lng': -94.75462669999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
74,Riviera Condos,ChIJ76mZPLCEP4YRP4oHIz4BMH8,"11949 Termini-San Luis Pass Rd, Galveston","{'lat': 29.2231305, 'lng': -94.9024369}",OPERATIONAL,"['point_of_interest', 'establishment']"
75,Maravilla Seawall Condo by AB Sea,ChIJEWoUaTOdP4YRU76Ig1mq-Eo,"8610 Seawall Blvd, Galveston","{'lat': 29.2532946, 'lng': -94.85033609999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
76,Islander East Resort,ChIJBQijF8afP4YREcJ9OkI4s5U,"415 E Beach Dr, Galveston","{'lat': 29.314553, 'lng': -94.75657830000002}",OPERATIONAL,"['point_of_interest', 'establishment']"
77,The Victorian Condominiums,ChIJNclbW1SdP4YRQxY3tDMAs_I,"6300 Seawall Blvd, Galveston","{'lat': 29.2653785, 'lng': -94.83066649999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
78,Tiara on the Beach Condoiminiums,ChIJocsXdTmdP4YRH2vOxK2kF5M,"4918 Seawall Blvd Suite c, Galveston","{'lat': 29.2729846, 'lng': -94.81580199999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
79,Dawn Beach Condominiums,ChIJgZMCw0GcP4YRhGCD0Uo5hl8,"7000 Seawall Blvd, Galveston","{'lat': 29.2621927, 'lng': -94.8351965}",OPERATIONAL,"['real_estate_agency', 'travel_agency', 'lodging', 'point_of_interest', 'establishment']"
80,VIP Condo at Galveston,ChIJT5S_9L-dP4YRnUuh925hVqI,"6300 Seawall Blvd UNIT 3210, Galveston","{'lat': 29.2651179, 'lng': -94.8295761}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
81,Mirabella,ChIJHRoWfuKdP4YRv9NShJyI7sg,"7310 Seawall Blvd APT 602, Galveston","{'lat': 29.2602726, 'lng': -94.83835069999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
82,Captains Cove Resort Condos,ChIJaaKUSk2dP4YRGlvsGRt2kno,"7600 Seawall Blvd, Galveston","{'lat': 29.2591677, 'lng': -94.84085669999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
83,West Beach Grand Condos,ChIJVRgULLCEP4YRZFBrxM5FFAE,"11945 Termini-San Luis Pass Rd, Galveston","{'lat': 29.2237048, 'lng': -94.9017689}",OPERATIONAL,"['point_of_interest', 'establishment']"
84,Seas the Day,ChIJ8x-OcpN3QIYRW0HvPf98-2E,"26560 Baywater Dr Unit 302, Galveston","{'lat': 29.1020398, 'lng': -95.10521130000001}",OPERATIONAL,"['point_of_interest', 'establishment']"
85,Azure Dreams,ChIJJQATAlKdP4YRKxGT1jrWzX8,"10811 Termini-San Luis Pass Rd #2322, Galveston","{'lat': 29.2422439, 'lng': -94.8711848}",OPERATIONAL,"['point_of_interest', 'establishment']"
86,Port Aux Princes,ChIJ90y-fTGeP4YRveKMRx1ZCog,"7000 N Holiday Dr, Galveston","{'lat': 29.3182618, 'lng': -94.77424789999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
87,A Bird's Eye View Condo at Diamond Beach,ChIJq6r6WZmcP4YRvd_vgwOYHIQ,"10327 FM3005, Galveston","{'lat': 29.243323, 'lng': -94.8679827}",OPERATIONAL,"['point_of_interest', 'establishment']"
88,Sand Castle HOA,ChIJ17xUUWGcP4YRrUZQNu9G7sQ,"3700 83rd St, Galveston","{'lat': 29.2552591, 'lng': -94.8470759}",OPERATIONAL,"['point_of_interest', 'establishment']"
89,The Breakers of Galveston,ChIJEQoS1GecP4YRoDZ2hEkil4E,"7700 Seawall Blvd, Galveston","{'lat': 29.2582068, 'lng': -94.84200059999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
90,Juan Manuel y Francisco Del sol departamentos,ChIJa7cgvQN5P4YR7DAyu1PCcmA,Texas City,"{'lat': 29.4065461, 'lng': -94.9499373}",OPERATIONAL,"['point_of_interest', 'establishment']"
91,"league city, TX",ChIJi1BeeOh_P4YR_NuMLGDp8V8,"214 Terrace Dr, Texas City","{'lat': 29.3856334, 'lng': -94.9791047}",OPERATIONAL,"['point_of_interest', 'establishment']"
92,Villas hogar,ChIJcV35nU2fP4YREuEez3FZxss,"2711 Avenue K, Galveston","{'lat': 29.297712, 'lng': -94.7965289}",OPERATIONAL,"['point_of_interest', 'establishment']"
93,Diamond Beach,ChIJW6WxN6GcP4YR0jyHX1_B_r0,"10327 Termini-San Luis Pass Rd, Galveston","{'lat': 29.2431841, 'lng': -94.8681636}",OPERATIONAL,"['point_of_interest', 'establishment']"
94,Mechanic Street Lofts,ChIJVd4pZ2yeP4YRjn0uimJuShE,"302 25th St unit h, Galveston","{'lat': 29.3054921, 'lng': -94.796171}",OPERATIONAL,"['point_of_interest', 'establishment']"
95,3 Palms Ocean View Condo,ChIJaVJ2yj6cP4YR1dPH_MW7oeE,"6102 Seawall Blvd, Galveston","{'lat': 29.266918, 'lng': -94.827446}",OPERATIONAL,"['real_estate_agency', 'travel_agency', 'lodging', 'point_of_interest', 'establishment']"
96,Trade Winds the Beach Club,ChIJ-Zu9KcSfP4YR4K71S_Z58vg,"801 E Beach Dr BC 0612, Galveston","{'lat': 29.3157539, 'lng': -94.75492109999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
97,Sara campbell,ChIJOU0uzR6fP4YRZRnJiISTmiM,"500 Seawall Blvd, Galveston","{'lat': 29.306037, 'lng': -94.7721924}",OPERATIONAL,"['point_of_interest', 'establishment']"
