,Name,place_id,Address,Coordinates,business_status,types,category
72,Parking lot,ChIJ5xnf0WqeP4YRDUfpala9baQ,Galveston,"{'lat': 29.3085944, 'lng': -94.791856}",,"['parking', 'premise', 'point_of_interest', 'establishment']",parking
73,Suderman Stevedores,ChIJVTHl1WqeP4YR-T-PNxIdEGo,"37 Pier 21, Galveston","{'lat': 29.3096285, 'lng': -94.7927457}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
74,Parking lot,ChIJHXYQZ0eeP4YR-6Oc6XkYDd8,Galveston,"{'lat': 29.3088601, 'lng': -94.7831562}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
75,Parking lot,ChIJmxJPgEeeP4YRj8VqZP89qlQ,Galveston,"{'lat': 29.3092685, 'lng': -94.78186149999999}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
76,Port Of Galveston Parking & Cruise Terminals,ChIJq6Ry72yeP4YR2Dndmacf3c0,"123 Rosenberg Street, Galveston","{'lat': 29.3065514, 'lng': -94.79707649999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
77,EZ Cruise Parking,ChIJyfsXmm2eP4YRgIdWU9o7Eiw,"2727 Santa Fe Place, Galveston","{'lat': 29.3055923, 'lng': -94.7982536}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
78,81st Dolphin Parking,ChIJDYwv-W2eP4YRVw8XDEJt-Rc,"2801 Market Street, Galveston","{'lat': 29.3036021, 'lng': -94.7997881}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
79,Cruise Park,ChIJcRP8SmyeP4YRomXqEqBKhtQ,"2815 Harborside Drive, Galveston","{'lat': 29.3060306, 'lng': -94.8009659}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
80,Galveston Cruise Parking - Lighthouse Cruise Parking,ChIJvXZMvtudP4YRYCpj19029Z4,"325 29th Street, Galveston","{'lat': 29.3039505, 'lng': -94.80134749999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
81,Galveston Park N Cruise,ChIJi-Rw4WyeP4YRY_jFFguDAkU,"2514 New Strand Street, Galveston","{'lat': 29.3070454, 'lng': -94.797454}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
82,P4003,ChIJa4bdfmueP4YRF71thrCoBmA,"2300 Ship Mechanic Row Street, Galveston","{'lat': 29.3062136, 'lng': -94.7948085}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
83,Official Port of Galveston - Lot B,ChIJ0ce-EnSeP4YRBe-gw-KGnIY,"224 33rd Street, Galveston","{'lat': 29.3034288, 'lng': -94.80549330000001}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
84,Lighthouse Parking,ChIJoW2MDNufP4YR_QqDw9yfzdk,"2901 Mechanic Street, Galveston","{'lat': 29.3044274, 'lng': -94.8012591}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
85,Parking,ChIJM-vZEDOfP4YRn5qTcwK2Rqk,"2901 Mechanic Street, Galveston","{'lat': 29.3042995, 'lng': -94.8012117}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
86,Lighthouse parking Lot 3,ChIJ-wKq8q2fP4YRsOb7wkFIRIU,"2801 Market Street, Galveston","{'lat': 29.3036021, 'lng': -94.7997881}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
87,Cruise Parking Express Lot,ChIJbVt2vXKeP4YRYHaTATxOFQc,"106 28th Street, Galveston","{'lat': 29.3072849, 'lng': -94.8010348}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
88,Galveston wharfs,ChIJh52DxQyfP4YR8gjTV0in3u0,"303 31st Street, Galveston","{'lat': 29.3044129, 'lng': -94.8032672}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
89,Port of Galveston Express Lot Cruise Parking,ChIJo9RSeWSfP4YRgHa9wjU2HPw,"2702 Harborside Drive, Galveston","{'lat': 29.3074851, 'lng': -94.8003865}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
90,225 25th St Parking,ChIJF0BDWGyeP4YR6QMPgGxHwXI,"225 25th Street, Galveston","{'lat': 29.3058168, 'lng': -94.79687899999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
91,Galv Park,ChIJTxD4ijSfP4YRkZ5JNXh0PUc,"201 Rosenberg Street, Galveston","{'lat': 29.305824, 'lng': -94.79682}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
92,Lot А - Port Of Galveston Cruise Parking,ChIJC2xgonOeP4YRfOjItcpNF1o,"150 33rd Street, Galveston","{'lat': 29.3051314, 'lng': -94.8040417}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
93,Galveston VIP Cruise Parking,ChIJhZ_r5myeP4YR_-0yuhWIOow,"111 Rosenberg Street, Galveston","{'lat': 29.3071013, 'lng': -94.7972231}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
94,600 26th St Parking,ChIJ-az9jm6eP4YRn7--ZjWSOp8,"600 26th Street, Galveston","{'lat': 29.3021002, 'lng': -94.797186}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
95,Official Port of Galveston SMP Cruise Parking Garage,ChIJDw_EmuOfP4YR-budokSzT5U,"150 Rosenberg Street, Galveston","{'lat': 29.30724489999999, 'lng': -94.79675999999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
97,Rosenberg Library Parking,ChIJre2YEmmeP4YRdPM8gyXCxWU,"2315 Avenue H, Galveston","{'lat': 29.30144699999999, 'lng': -94.793363}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
