,Name,Address,Coordinates
97,Sakura Sushi & Grill,"200 Kanoelehua Ave Hilo, HI 96720","{'latitude': 19.72082430989023, 'longitude': -155.06454144432738}"
98,Kozmic Cones,"317 Waianuenue Ave Hilo, HI 96720","{'latitude': 19.72389, 'longitude': -155.09058}"
99,Moms,"190 Keawe St Ste 10 Hilo, HI 96720","{'latitude': 19.724564, 'longitude': -155.087565}"
100,Restaurant Miwa,"1261 Kilauea Ave Ste 230 Hilo, HI 96720","{'latitude': 19.7105421047085, 'longitude': -155.075502215939}"
101,Kelly Boy's,"175 Uhu St Hilo, HI 96720","{'latitude': 19.711473, 'longitude': -155.073334}"
102,Hula Hulas,"93 Banyan Dr Hilo, HI 96720","{'latitude': 19.729616, 'longitude': -155.064893}"
103,Aloydee's Thai Food,"330 Kamehameha Ave Hilo, HI 96720","{'latitude': 19.723577, 'longitude': -155.085052}"
104,Restaurant Osaka,"762 Kanoelehua Ave Hilo, HI 96720","{'latitude': 19.7074432373047, 'longitude': -155.064529418945}"
105,Low International Food,"222 Kilauea Ave Hilo, HI 96720","{'latitude': 19.72152, 'longitude': -155.08519}"
106,Coconut Island,"77 Keliipio Pl Hilo, HI 96720","{'latitude': 19.729465, 'longitude': -155.068565}"
107,Lyman Museum,"276 Haili St Hilo, HI 96720","{'latitude': 19.7219974, 'longitude': -155.0908298}"
108,Verna's Drive In,"1765 Kamehameha Ave Hilo, HI 96720","{'latitude': 19.72281, 'longitude': -155.06388}"
109,So Juicy Hawaii - Hilo,"116 Kamehameha Ave Hilo, HI 96720","{'latitude': 19.72609, 'longitude': -155.0868}"
110,New Saigon Restaurant,"96 Kalanianaole Ave Hilo, HI 96720","{'latitude': 19.7232557404499, 'longitude': -155.06210131175618}"
111,Lani's Island Snack Shack,"681 Manono St Ste 107 Hilo, HI 96720","{'latitude': 19.7125535200044, 'longitude': -155.069515295327}"
112,Asami's Kitchen,"308 Kilauea Ave Hilo, HI 96720","{'latitude': 19.720944, 'longitude': -155.084113}"
113,WSW Steakhouse,"71 Banyan Dr Hilo, HI 96720","{'latitude': 19.728193, 'longitude': -155.066684}"
114,Yen's Cafe,"235 Waianuenue Ave Hilo, HI 96720","{'latitude': 19.7245502, 'longitude': -155.0896149}"
115,Ohana Foods,"511 W Kawailani St Hilo, HI 96720","{'latitude': 19.683428, 'longitude': -155.082296}"
116,Sky Garden Restaurant,"600 Imiloa Pl Hilo, HI 96720","{'latitude': 19.701243546831176, 'longitude': -155.08869339586988}"
117,Akaka Falls State Park,"Akaka Falls Rd Honomu, HI 96728","{'latitude': 19.8538409556301, 'longitude': -155.152272242078}"
118,What's Shakin',"27-999 Old Mamalahoa Hwy Pepeekeo, HI 96783","{'latitude': 19.824328, 'longitude': -155.095225}"
119,Pe'epe'e Falls & Boiling Pots,"Peepee Falls St Hilo, HI 96720","{'latitude': 19.713306, 'longitude': -155.1304287}"
120,Tabaraka,"272 Waianuenue Ave Hilo, HI 96720","{'latitude': 19.7246596, 'longitude': -155.0902291}"
121,Pandamonia's Paleta Palace,"21 Banyan Dr Hilo, HI 96720","{'latitude': 19.724659, 'longitude': -155.0685994}"
122,Koana,"18-1325 Old Volcano Road Mountain View, HI 96771","{'latitude': 19.55076, 'longitude': -155.107518}"
123,Daiichi Ramen,"111 E Puainako St Hilo, HI 96720","{'latitude': 19.697288, 'longitude': -155.063254}"
124,Happy Valley Seafood Restaurant,"1263 Kilauea Ave Ste 320 Hilo, HI 96720","{'latitude': 19.710168838501, 'longitude': -155.07600402832}"
125,Richardson Ocean Park,"2349 Kalanianaole Ave Hilo, HI 96720","{'latitude': 19.7347665, 'longitude': -155.0133199}"
126,Onekahakaha Beach Park,"74 Onekahakaha Rd Hilo, HI 96720","{'latitude': 19.738193, 'longitude': -155.039601}"
127,Zippy's Hilo,"111 E Puainako St Hilo, HI 96720","{'latitude': 19.69719, 'longitude': -155.06342}"
128,808 Sweet Shack,"315 E Kawili St Hilo, HI 96720","{'latitude': 19.7061614, 'longitude': -155.0682212}"
129,Kandi's Drive Inn,"56 W Kawailani St Hilo, HI 96720","{'latitude': 19.6847426, 'longitude': -155.0693995}"
130,Manono Mini Mart,"454 Manono St Hilo, HI 96720","{'latitude': 19.7160148620605, 'longitude': -155.070449829102}"
131,Nector Cafe,"216 Kamehameha Ave Hilo, HI 96720","{'latitude': 19.724783, 'longitude': -155.086181}"
132,Kum Yo's Okazuya,"399 E Kawili St Hilo, HI 96720","{'latitude': 19.7060317993164, 'longitude': -155.065475463867}"
133,Hale Hookah,"60 Waianuenue Ave Hilo, HI 96720","{'latitude': 19.7262907, 'longitude': -155.0876187}"
134,1 Plus 1 Cafe,"315 Makaala St Ste 110 Hilo, HI 96720","{'latitude': 19.701475, 'longitude': -155.063192}"
135,"Cupcakes, BOOM!","697 Manono St Ste 106 Hilo, HI 96720","{'latitude': 19.712741911747035, 'longitude': -155.06994744746007}"
136,Spoonful Cafe,"16-569 Old Volcano Rd Keaau, HI 96749","{'latitude': 19.6211111, 'longitude': -155.0416667}"
137,Maui Tacos,"111 E Puainako St Ste 605 Hilo, HI 96720","{'latitude': 19.697899, 'longitude': -155.063268}"
138,Poi Balls Hawaii,"619 Manono St Parking Lot Hilo, HI 96720","{'latitude': 19.713710236503204, 'longitude': -155.06991392220704}"
139,Dimple Cheek Cafe & Local Market,"17-4003 Ahuahu Pl Mountain View, HI 96771","{'latitude': 19.5691299680627, 'longitude': -155.081895031035}"
140,Amigos Taqueria,"250 Keawe St Hilo, HI 96720","{'latitude': 19.72374, 'longitude': -155.08686}"
141,Countryside Cafe,"16-586 Old Volcano Rd Keaau, HI 96749","{'latitude': 19.621841761624392, 'longitude': -155.0409898}"
142,Kaleo's Bar and Grill,"15-2969 Pahoa Village Rd Pahoa, HI 96778","{'latitude': 19.49422, 'longitude': -154.94452}"
143,Blane's Drive Inn,"150 Wiwoole St Hilo, HI 96720","{'latitude': 19.701668441222488, 'longitude': -155.0651911037979}"
144,Litchon Food Truck,"Honokaa, HI 96720","{'latitude': 19.7234858629142, 'longitude': -155.084899775684}"
