,Name,Address,Coordinates,Lat,Long,fast_food,user_ratings_total,bakery,cafe,meal_delivery,meal_takeaway,restaurant,food,hours_open,weight
463,Onomea Country Market & Cafe,"28-1099 Old Mamalahoa Hwy Pepeekeo, HI 96783",POINT (-155.0971922 19.83072044528586),19.83072044528586,-155.0971922,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
464,Baskin-Robbins,"2100 Kanoelehua Ave Ste D2 Hilo, HI 96720",POINT (-155.066279 19.690083),19.690083,-155.066279,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
465,Bite The Eye,"15-2059 Keaau Pahoa Rd Pahoa, HI 96778",POINT (-154.9736207841712 19.54244768726943),19.542447687269433,-154.97362078417123,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
466,Mr Cow,"315 Makaala St Hilo, HI 96720",POINT (-155.0636 19.70124),19.70124,-155.0636,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
467,Little Caesars Pizza,"125 Kekuanaoa St Ste 201 Hilo, HI 96720",POINT (-155.076371600846 19.7116903442747),19.7116903442747,-155.076371600846,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
468,Fairway Grill,"340 Haihai St Hilo, HI 96720",POINT (-155.0768457203621 19.6742209815134),19.674220981513404,-155.07684572036214,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
469,Starbucks,"111 E Puainako St Hilo, HI 96720",POINT (-155.06164099 19.69871437),19.69871437,-155.06164099,1,0.9999999999999994,0,1,0,1,0,0,,11.952380952380953
470,Coco Cantina - Hilo,"194 Kilauea Ave Ste 105 Hilo, HI 96778",POINT (-155.0856272 19.7215621),19.7215621,-155.0856272,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
471,Hilo Yacht Club,"77 Laehala St Hilo, HI 96720",POINT (-155.03362345317 19.736476832529),19.736476832529,-155.03362345317,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
472,Hale Inu Sports Bar,"399 Hualani St Hilo, HI 96720",POINT (-155.0739652819722 19.71454632947158),19.71454632947158,-155.0739652819722,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
473,McDonald's,"2100 Kanoelehua Ave Hilo, HI 96720",POINT (-155.0663614 19.6912097),19.6912097,-155.0663614,1,0.9999999999999994,0,1,0,1,0,0,,11.952380952380953
474,Kurtistown Cafe,"17-353 Volcano Rd Kurtistown, HI 96760",POINT (-155.057269 19.592985),19.592985,-155.057269,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
475,Wailuku River State Park,"2-198 Rainbow Dr Hilo, HI 96720",POINT (-155.110627 19.717954),19.717954,-155.110627,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
476,Luquin’s Mexican Restaurant,"15-1448 Kahakai Blvd Pāhoa, HI 96778",POINT (-154.9542306813235 19.50447831040302),19.50447831040302,-154.95423068132354,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
477,Sunlight Express,"111 E Puainako St Hilo, HI 96720",POINT (-155.063247547861 19.6975398977595),19.6975398977595,-155.063247547861,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
478,Nicoco,"15-2929 Pahoa Village Rd Pahoa, HI 96778",POINT (-154.950767484656 19.4973010278322),19.4973010278322,-154.950767484656,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
479,Shaka Tea,"116 Keawe St Hilo, HI 96720",POINT (-155.0878357 19.72541),19.72541,-155.0878357,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
480,Margarita Village,"11 Silva St Hilo, HI 96720",POINT (-155.054061889648 19.7272605895996),19.7272605895996,-155.054061889648,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
481,Hilo Sharks Coffee,"28-1672 Old Mamalahoa Hwy Ste 28 Honomu, HI 96728",POINT (-155.11332783848 19.8694222682398),19.8694222682398,-155.11332783848,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
482,Big Island Fusion,"380 Kanoelehua Ave Hilo, HI 96720",POINT (-155.064796475353 19.7170240190292),19.7170240190292,-155.064796475353,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
483,Taco Aina,"Keaau, HI 96749",POINT (-155.036376953125 19.62028121948242),19.620281219482422,-155.036376953125,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
484,The Coffee Bean & Tea Leaf,"16-586 Old Volcano Rd Ste P206 Keaau, HI 96749",POINT (-155.0397158381829 19.62239201956679),19.622392019566792,-155.03971583818293,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
485,KFC,"111 E Puainako Rd Hilo, HI 96720",POINT (-155.061619107581 19.6989895023496),19.6989895023496,-155.061619107581,1,0.9999999999999994,0,1,0,1,0,0,,11.952380952380953
486,Panchos Tacos,"15-2942 Pahoa Village Rd Pahoa, HI 96778",POINT (-154.9454773 19.4937404),19.4937404,-154.9454773,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
487,Wailoa River State Recreation Area,"Piilani St Hilo, HI 96720",POINT (-155.06849 19.71642),19.71642,-155.06849,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
488,Jack in the Box,"50 E Puainako St Hilo, HI 96720",POINT (-155.066442489624 19.6925742934388),19.6925742934388,-155.066442489624,1,0.9999999999999994,0,1,0,1,0,0,,11.952380952380953
489,Peggy's Lounge,"760 Piilani St Hilo, HI 96720",POINT (-155.0673769 19.7162082),19.7162082,-155.0673769,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
490,New China Restaurant,"510 Kilauea Ave Hilo, HI 96720",POINT (-155.081802368164 19.7188549041748),19.7188549041748,-155.081802368164,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
491,Nani Mau Garden & Restaurant,"421 Makalika St Hilo, HI 96720",POINT (-155.055211 19.67136),19.67136,-155.055211,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
492,Frankie's Pizza,"18 1314 Hwy 11 Mountain View, HI 96771",POINT (-155.10686673224 19.5514279314318),19.5514279314318,-155.10686673224,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
493,Ha'ena Beach - aka Shipman Beach,"Kaloli Dr Keaau, HI 96749",POINT (-154.9829220912098 19.64341610784341),19.64341610784341,-154.9829220912098,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
494,Big Island Mexican Foods,"16-203 Wiliama Pl Keaau, HI 96749",POINT (-155.04428467515 19.6377314688564),19.6377314688564,-155.04428467515,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
495,Coco Cantina,"15-2714 Pahoa Village Rd Ste I-3 Pāhoa, HI 96778",POINT (-154.9555071435256 19.50244608797325),19.50244608797325,-154.9555071435256,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
496,Kamehameha The Great Statue,"774 Kamehameha Ave Hilo, HI 96720",POINT (-155.0783263 19.7218048),19.7218048,-155.0783263,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
497,Lemongrass Express Hilo,"315 Makaala St Hilo, HI 96720",POINT (-155.0631552897067 19.70170440237363),19.70170440237363,-155.06315528970666,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
498,A&J’s Kitchen,"15-2874 Pahoa Rd Pahoa, HI 96778",POINT (-154.948386658838 19.4947564006393),19.4947564006393,-154.948386658838,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
499,Sushi Hawaii Rolls & Bowls,"15-2714 Pahoa Village Rd Ste D3 Pahoa, HI 96778",POINT (-154.956325 19.50254327470878),19.502543274708785,-154.956325,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
500,Hawaii Plantation Museum,"27-246 Old Mamalahoa Hwy Papaikou, HI 96781",POINT (-155.09320834425 19.783476189293),19.783476189293,-155.09320834425,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
501,EpicLava,"11-2083 Jungle King Rd Mountain View, HI 96771",POINT (-155.048602914497 19.5357609301519),19.5357609301519,-155.048602914497,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
502,Affordable Catering & Okazuya,"811 Laukapu St Ste 1 Hilo, HI 96720",POINT (-155.06677 19.70673),19.70673,-155.06677,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
503,Pizza Hut,"326 Kilauea Ave Hilo, HI 96720",POINT (-155.084008500007 19.7207197833684),19.7207197833684,-155.084008500007,1,0.9999999999999994,0,1,0,1,0,0,,11.952380952380953
504,Kilauea Coffee,"195 Kilauea Ave Hilo, HI 96720",POINT (-155.0851752 19.72203),19.72203,-155.0851752,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
505,Rainbow Falls Connection,"47 Rainbow Dr Hilo, HI 96720",POINT (-155.1094213721312 19.71929881837496),19.719298818374956,-155.10942137213115,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
