id,name,categories,longitude,latitude,display_address
ChIJO6Uw36-0U3kRsbwJxd1khm4,Yukio Okutsu Veterans State Home,"hospital, health, point_of_interest, establishment",-155.11197099999998,19.7183653,"1180 Waianuenue Ave, Hilo, HI 96720, USA"
ChIJBf_-eO-1U3kR1_yCMWWt0gY,Hawaii Eco Experiences,"grocery_store, market, point_of_interest, store, food, establishment",-155.110581,19.727398,"1570 Maikalani St Unit A, Hilo, HI 96720, USA"
ChIJkwxBzKS0U3kRk4TAGQ_gLIw,Parking lot,"premise, parking, point_of_interest, establishment",-155.1114481,19.7180542,"Hilo, HI 96720, USA"
ChIJ_wDN16S0U3kRgeYqLonkVao,Parking lot,"premise, parking, point_of_interest, establishment",-155.11066,19.7182411,"Hilo, HI 96720, USA"
ChIJkybbtrG0U3kR4i089DHF3H8,7-Eleven,"convenience_store, atm, finance, food, store, point_of_interest, establishment",-155.1041278,19.7149798,"83 Kaumana Dr, Hilo, HI 96720, USA"
ChIJ-z-Bx7K0U3kRRWmvYlstkEY,KA WAENA LAPA'AU,"hospital, health, point_of_interest, establishment",-155.09668879999998,19.714217800000004,"670 Ponahawai St, Hilo, HI 96720, USA"
ChIJawD__Z21U3kRxq6UgPWtvlQ,Vein Clinics of Hawaii,"beauty_salon, spa, doctor, hospital, hair_care, health, point_of_interest, establishment",-155.0966937,19.7143923,"670 Ponahawai St #220, Hilo, HI 96720, USA"
ChIJ0zMgJsS1U3kRoMF5Yh-dOsU,The Queen's Health Care Center - Hilo,"hospital, health, point_of_interest, establishment",-155.0964745,19.7141591,"670 Ponahawai St Suite 122, Hilo, HI 96720, USA"
ChIJow5EzrK0U3kRzJhdjrTTWfE,Ponahawai Street @ (across) Ka Waena Lapa'au Medical Center,"bus_stop, transit_station, point_of_interest, establishment",-155.0962677,19.7135914,"Hilo, HI 96720, USA"
ChIJqQAur6y0U3kRgFPxaUq1sfU,Hilo High School,"secondary_school, school, point_of_interest, establishment",-155.0964414,19.7214234,"556 Waianuenue Ave, Hilo, HI 96720, USA"
ChIJDyk-I620U3kRR0f4MBkwcq0,Hilltop Legacy Vacation Rental,"guest_house, hotel, bed_and_breakfast, lodging, point_of_interest, establishment",-155.0969659,19.7177603,"57 Hina St, Hilo, HI 96720, USA"
