,Name,place_id,Address,Coordinates,business_status,types,category
113,Hilo Ocean Adventures,ChIJQ-Ivl2xLUnkRSkZvUw7bNGM,"1717 Kamehameha Avenue, Hilo","{'lat': 19.7227858, 'lng': -155.0646062}",OPERATIONAL,"['travel_agency', 'store', 'point_of_interest', 'establishment']",travel_agency
114,Tropical Helicopters,ChIJy1MoBIRLUnkRmQ6RrbwJMdU,"Hilo Int'l Airport Main Terminal Bldg.,, Hilo","{'lat': 19.714756, 'lng': -155.040363}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
115,The Falls at Reed's Island,ChIJ9Zq_EKy0U3kRWqaW4cwTPug,"286 Kaiulani Street, Hilo","{'lat': 19.7207526, 'lng': -155.1014408}",OPERATIONAL,"['travel_agency', 'lodging', 'real_estate_agency', 'point_of_interest', 'establishment']",travel_agency
116,Gecko Big Island Tours,ChIJiWYIRcG0U3kRnFhQxXBXvn4,United States,"{'lat': 19.706273, 'lng': -155.109786}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
117,Tour Agency,ChIJq6oG-WlLUnkRNe8a95dpmaY,"248 East Lanikaula Street, Hilo","{'lat': 19.7065605, 'lng': -155.0715122}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
118,International Travel Services & Trs,ChIJaeOrr1xLUnkRwoW7atqUNFA,"1034 Kilauea Avenue, Hilo","{'lat': 19.7132985, 'lng': -155.0774432}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
119,Green Travel & Tours Inc,ChIJCdVYeGhLUnkRhJXB1Q3XnvE,"610 Kekuanaoa Street, Hilo","{'lat': 19.7115247, 'lng': -155.0694872}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
120,Wa'a Kaulua Pacific Tours,ChIJVVXZFl1LUnkRG4PWlnAlJTc,"399 Hualani Street, Hilo","{'lat': 19.71394769999999, 'lng': -155.0740617}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
121,Nui Tours,ChIJq6r-BVtLUnkRb99bAwreOuU,"37b Noio Lane, Hilo","{'lat': 19.7155771, 'lng': -155.0802225}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
122,Discover Paradise Adventures,ChIJb3iy3K20U3kRf3j0P3007As,"773 Waianuenue Avenue, Hilo","{'lat': 19.7178081, 'lng': -155.1009811}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
123,Reeds Island Hilo,ChIJOxjNe6y0U3kRAIEoZ1AfxJ0,"273 Kaiulani Street, Hilo","{'lat': 19.7212024, 'lng': -155.0993345}",OPERATIONAL,"['real_estate_agency', 'travel_agency', 'point_of_interest', 'establishment']",real_estate_agency
124,Walking Tours of Hilo,ChIJyw3hJ8lNUnkRiAdICKzP7ak,"64 Keawe Street Suite 204, Hilo","{'lat': 19.7260137, 'lng': -155.0882231}",CLOSED_TEMPORARILY,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
125,Brenda's Big Island Travel,ChIJZcKu36tMUnkRnhiqzp1rJmc,Hilo,"{'lat': 19.729715, 'lng': -155.0900154}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
126,Big Island Authentic Adventures,ChIJdzsEYllNUnkR7k1pKlXlrck,"Pickup from Hilo's Cruiseship Port & Airport, Hilo","{'lat': 19.7188342, 'lng': -155.0416866}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
127,hoppa on hoppa off bus,ChIJneLezpdNUnkRisl-K-7bCE4,"60 Kuhio Street, Hilo","{'lat': 19.7290991, 'lng': -155.0526815}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
128,Hilo Tony's,ChIJ5dvE5mZLUnkRks1P6jyeEkM,"476-494 Hinano Street, Hilo","{'lat': 19.7155875, 'lng': -155.0688999}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']",car_rental
129,SUV Rental Hilo,ChIJC9is5TJLUnkRh2ab-CHyGko,"484 Kanoelehua Avenue, Hilo","{'lat': 19.7153883, 'lng': -155.0645845}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']",car_rental
130,DaKinez Car Rentalz,ChIJ615LUSNLUnkRp4hQoeYTvfs,"475 Kinoole Street #102, Hilo","{'lat': 19.7205477, 'lng': -155.0859434}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']",car_rental
131,Four Nine Enterprises,ChIJO8mUcx1LUnkRmQoytUM6r9Y,"172 Kilauea Avenue, Hilo","{'lat': 19.7219767, 'lng': -155.0856504}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']",car_rental
132,1Stcar - Car Rental Hilo,ChIJSTlb-kVLUnkRd15vKrWcIdw,"43 Akahana Street, Hilo","{'lat': 19.7155174, 'lng': -155.0516863}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']",car_rental
133,enterprise rent a car,ChIJo0ap36tMUnkRP4Zu4OQ9wGg,"Pohakuloa Training Area MILE MARKER 33, State Route 200, Hilo","{'lat': 19.7297067, 'lng': -155.0900187}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']",car_rental
134,Rent A Car & VAN Hilo,ChIJScR58thLUnkRhkfOsmf5wTk,"1304 Kekuanaoa Street, Hilo","{'lat': 19.7133933, 'lng': -155.047265}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']",car_rental
135,SUV Rental Hilo,ChIJsU4v4WNLUnkRWtouqi-fjtk,"1304 Kekuanaoa Street, Hilo","{'lat': 19.7133933, 'lng': -155.047265}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']",car_rental
136,1Car Rental Hilo Airport,ChIJISlcaGxLUnkR2Kh5Q2o6NBM,"1347 Kekuanaoa Street, Hilo","{'lat': 19.7139627, 'lng': -155.0447164}",OPERATIONAL,"['car_rental', 'car_repair', 'point_of_interest', 'establishment']",car_rental
137,Car Rental Hilo - Airport,ChIJxZi8J9BLUnkRtuIqlO-E6e0,"Kekuanaoa Place, Hilo","{'lat': 19.7141287, 'lng': -155.0447161}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']",car_rental
138,VAN Rental Hilo International Airport,ChIJhcGTyy9LUnkRK1sf6tIpMp8,"1046 Leilani Street, Hilo","{'lat': 19.7145671, 'lng': -155.0449137}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']",car_rental
139,Hilo Auto Sales & Rentals,ChIJH3jbImhLUnkR1kOciRpYKKA,"595 Kalanianaole Street, Hilo","{'lat': 19.7269631, 'lng': -155.0558323}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']",car_rental
140,Automotive Solutions Hawaii & Car Rentals,ChIJq6pqXoZMUnkRAuvMRYfbd18,"60 Kuhio Street #9, Hilo","{'lat': 19.7289638, 'lng': -155.0518341}",OPERATIONAL,"['car_repair', 'car_rental', 'store', 'point_of_interest', 'establishment']",car_repair
